(network_access host-0,NO)
(adjacent_access host-0,NO)
(network_access host-2,NO)
(adjacent_access host-2,NO)
(network_access host-3,NO)
(adjacent_access host-3,NO)
(network_access host-5,NO)
(adjacent_access host-5,NO)
(network_access host-6,NO)
(adjacent_access host-6,NO)
(network_access host-8,NO)
(adjacent_access host-8,NO)
(network_access host-9,NO)
(adjacent_access host-9,NO)
(network_access host-10,NO)
(adjacent_access host-10,NO)
(network_access host-12,NO)
(adjacent_access host-12,NO)
(network_access host-13,NO)
(adjacent_access host-13,NO)
