(is-green block2, holding block2)
(on-top-of block2 block0, holding block2)
(on-top-of block0 block2, holding block2)
(on-top-of block2 block1, holding block2)
(on-top-of block1 block2, holding block2)
(on-top-of block2 table, holding block2)
(on-top-of table block2, holding block2)
(on-top-of block2 block3, holding block2)
(on-top-of block3 block2, holding block2)
(on-top-of block2 block4, holding block2)
(on-top-of block4 block2, holding block2)
(on-top-of block2 block5, holding block2)
(on-top-of block5 block2, holding block2)
